product_id;name;category;descripcion;palabras_clave;precio;rating_promedio;descuento_aplicado;stock_actual
37;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Bienestar, Salud, Ejercicio;82.89;4.0;15;106
38;Sesión de Terapia Online;Bienestar Mental;Consulta con expertos en bienestar mental desde la comodidad de tu hogar.;Terapia, Relajación, Mindfulness;45.28;5.0;0;5
39;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Rendimiento, Fitness, Deporte;27.64;4.0;5;432
40;Sesión de Terapia Online;Bienestar Mental;Consulta con expertos en bienestar mental desde la comodidad de tu hogar.;Relajación, Terapia, Mindfulness;73.8;5.0;30;256
41;Rutina de Ejercicios Personalizada;Deportes;Planes de ejercicios adaptados a tus objetivos de salud y condición física.;Rendimiento, Fitness, Deporte;70.28;3.5;30;264
42;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Deporte, Fitness, Rendimiento;180.84;2.5;30;421
43;Rutina de Ejercicios Personalizada;Deportes;Planes de ejercicios adaptados a tus objetivos de salud y condición física.;Fitness, Deporte, Rendimiento;72.87;4.5;25;316
44;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Salud, Ejercicio, Bienestar;101.64;2.5;10;490
45;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Rendimiento, Fitness, Deporte;69.57;4.5;0;279
46;Rutina de Ejercicios Personalizada;Deportes;Planes de ejercicios adaptados a tus objetivos de salud y condición física.;Rendimiento, Fitness, Deporte;147.22;5.0;5;187
47;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Terapia, Relajación, Mindfulness;25.02;4.0;30;220
48;Vitaminas y Suplementos;Nutrición;Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.;Dieta, Suplementos, Alimentación;86.32;4.5;20;401
49;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Ejercicio, Salud, Bienestar;95.39;4.0;5;124
50;Juguetes para Mascotas;Mascotas;Diversión asegurada para tu mascota con juguetes interactivos y seguros.;Mascotas, Cuidado, Juguetes;13.28;4.0;0;408
51;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Deporte, Rendimiento, Fitness;72.72;4.5;0;444
52;Juguetes para Mascotas;Mascotas;Diversión asegurada para tu mascota con juguetes interactivos y seguros.;Juguetes, Cuidado, Mascotas;43.75;2.5;5;4
53;Rutina de Ejercicios Personalizada;Deportes;Planes de ejercicios adaptados a tus objetivos de salud y condición física.;Deporte, Fitness, Rendimiento;131.6;5.0;25;225
54;Vitaminas y Suplementos;Nutrición;Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.;Dieta, Suplementos, Alimentación;51.49;2.5;15;251
55;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Terapia, Relajación, Mindfulness;68.34;4.0;5;164
56;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Fitness, Rendimiento, Deporte;131.2;5.0;20;182
57;Curso de Mindfulness;Bienestar Mental;Desarrolla hábitos de atención plena para mejorar tu bienestar mental.;Mindfulness, Relajación, Terapia;93.6;5.0;0;150
58;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Ejercicio, Salud, Bienestar;73.92;4.5;20;335
59;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Rendimiento, Deporte, Fitness;176.72;3.0;5;268
60;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Salud, Bienestar, Ejercicio;78.47;3.0;25;406
61;Sesión de Terapia Online;Bienestar Mental;Consulta con expertos en bienestar mental desde la comodidad de tu hogar.;Mindfulness, Relajación, Terapia;101.77;2.5;5;469
62;Juguetes para Mascotas;Mascotas;Diversión asegurada para tu mascota con juguetes interactivos y seguros.;Cuidado, Mascotas, Juguetes;6.45;4.5;15;413
63;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Bienestar, Ejercicio, Salud;55.38;4.5;5;373
64;Ropa Deportiva;Deportes;Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.;Deporte, Fitness, Rendimiento;31.79;2.5;15;50
65;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Bienestar, Ejercicio, Salud;107.96;4.0;0;55
66;Sesión de Terapia Online;Bienestar Mental;Consulta con expertos en bienestar mental desde la comodidad de tu hogar.;Terapia, Mindfulness, Relajación;45.49;3.0;20;1
67;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Fitness, Deporte, Rendimiento;115.3;4.0;10;470
68;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Ejercicio, Bienestar, Salud;101.0;4.0;0;363
69;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Ejercicio, Bienestar, Salud;145.45;2.5;20;66
70;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Deporte, Rendimiento, Fitness;27.81;4.0;15;70
71;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Terapia, Mindfulness, Relajación;38.82;5.0;15;312
72;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Bienestar, Ejercicio, Salud;37.48;4.5;15;176
73;Vitaminas y Suplementos;Nutrición;Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.;Suplementos, Alimentación, Dieta;18.34;2.5;30;316
74;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Fitness, Deporte, Rendimiento;145.79;5.0;20;425
75;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Relajación, Terapia, Mindfulness;66.43;5.0;10;57
76;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Fitness, Deporte, Rendimiento;174.8;4.0;30;103
77;Juguetes para Mascotas;Mascotas;Diversión asegurada para tu mascota con juguetes interactivos y seguros.;Cuidado, Juguetes, Mascotas;23.72;3.0;25;296
78;Vitaminas y Suplementos;Nutrición;Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.;Dieta, Alimentación, Suplementos;16.89;3.0;25;344
79;Vitaminas y Suplementos;Nutrición;Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.;Alimentación, Suplementos, Dieta;11.26;3.5;10;333
80;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Salud, Ejercicio, Bienestar;117.26;2.5;10;176
81;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Fitness, Rendimiento, Deporte;138.06;5.0;30;63
82;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Mindfulness, Terapia, Relajación;46.74;3.0;15;474
83;Juguetes para Mascotas;Mascotas;Diversión asegurada para tu mascota con juguetes interactivos y seguros.;Juguetes, Mascotas, Cuidado;41.63;4.0;25;452
84;Vitaminas y Suplementos;Nutrición;Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.;Suplementos, Alimentación, Dieta;22.49;3.0;10;409
85;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Salud, Ejercicio, Bienestar;113.23;2.5;0;120
86;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Bienestar, Salud, Ejercicio;44.83;4.0;25;447
87;Curso de Mindfulness;Bienestar Mental;Desarrolla hábitos de atención plena para mejorar tu bienestar mental.;Relajación, Mindfulness, Terapia;66.02;2.5;15;203
88;Plan de Alimentación Saludable;Nutrición;Menús equilibrados diseñados por nutricionistas para mejorar tu salud.;Dieta, Alimentación, Suplementos;95.45;5.0;10;477
89;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Fitness, Deporte, Rendimiento;128.67;5.0;0;363
90;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Rendimiento, Deporte, Fitness;173.17;5.0;30;126
91;Vitaminas y Suplementos;Nutrición;Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.;Suplementos, Dieta, Alimentación;42.31;5.0;20;9
92;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Ejercicio, Salud, Bienestar;97.18;4.0;15;55
93;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Fitness, Rendimiento, Deporte;186.38;4.5;0;254
94;Juguetes para Mascotas;Mascotas;Diversión asegurada para tu mascota con juguetes interactivos y seguros.;Mascotas, Juguetes, Cuidado;10.09;2.5;0;22
95;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Rendimiento, Deporte, Fitness;120.14;3.5;10;297
96;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Ejercicio, Salud, Bienestar;122.05;5.0;25;220
97;Plan de Alimentación Saludable;Nutrición;Menús equilibrados diseñados por nutricionistas para mejorar tu salud.;Suplementos, Alimentación, Dieta;68.36;2.5;0;330
98;Sesión de Terapia Online;Bienestar Mental;Consulta con expertos en bienestar mental desde la comodidad de tu hogar.;Terapia, Relajación, Mindfulness;38.8;4.0;0;53
99;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Relajación, Mindfulness, Terapia;93.99;3.0;30;47
100;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Terapia, Mindfulness, Relajación;49.31;4.0;0;208
101;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Ejercicio, Salud, Bienestar;133.3;3.5;20;258
102;Curso de Mindfulness;Bienestar Mental;Desarrolla hábitos de atención plena para mejorar tu bienestar mental.;Terapia, Relajación, Mindfulness;75.06;2.5;15;66
103;Sesión de Terapia Online;Bienestar Mental;Consulta con expertos en bienestar mental desde la comodidad de tu hogar.;Terapia, Mindfulness, Relajación;100.34;3.5;30;99
104;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Relajación, Mindfulness, Terapia;80.62;3.0;15;145
105;Ropa Deportiva;Deportes;Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.;Fitness, Rendimiento, Deporte;147.13;3.5;30;332
106;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Relajación, Terapia, Mindfulness;83.32;3.0;10;335
107;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Bienestar, Ejercicio, Salud;119.19;3.5;15;369
108;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Mindfulness, Terapia, Relajación;25.99;4.0;5;141
109;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Terapia, Mindfulness, Relajación;71.34;2.5;15;199
110;Curso de Mindfulness;Bienestar Mental;Desarrolla hábitos de atención plena para mejorar tu bienestar mental.;Mindfulness, Relajación, Terapia;36.51;4.0;0;163
111;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Salud, Ejercicio, Bienestar;98.5;4.5;0;379
112;Ropa Deportiva;Deportes;Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.;Rendimiento, Fitness, Deporte;115.89;2.5;20;120
113;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Salud, Bienestar, Ejercicio;108.18;4.5;5;128
114;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Ejercicio, Bienestar, Salud;116.3;4.5;15;271
115;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Fitness, Rendimiento, Deporte;189.2;4.0;5;304
116;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Rendimiento, Deporte, Fitness;60.69;4.5;25;180
117;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Bienestar, Salud, Ejercicio;132.78;5.0;0;21
118;Juguetes para Mascotas;Mascotas;Diversión asegurada para tu mascota con juguetes interactivos y seguros.;Cuidado, Juguetes, Mascotas;5.78;5.0;25;128
119;Plan de Alimentación Saludable;Nutrición;Menús equilibrados diseñados por nutricionistas para mejorar tu salud.;Suplementos, Dieta, Alimentación;28.03;2.5;10;13
120;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Salud, Ejercicio, Bienestar;141.05;4.5;15;485
121;Plan de Alimentación Saludable;Nutrición;Menús equilibrados diseñados por nutricionistas para mejorar tu salud.;Dieta, Alimentación, Suplementos;48.93;3.5;25;414
122;Curso de Mindfulness;Bienestar Mental;Desarrolla hábitos de atención plena para mejorar tu bienestar mental.;Terapia, Relajación, Mindfulness;36.68;3.0;30;324
123;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Ejercicio, Bienestar, Salud;116.47;2.5;30;159
124;Vitaminas y Suplementos;Nutrición;Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.;Suplementos, Dieta, Alimentación;98.1;5.0;30;459
125;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Fitness, Rendimiento, Deporte;82.52;5.0;5;388
126;Plan de Alimentación Saludable;Nutrición;Menús equilibrados diseñados por nutricionistas para mejorar tu salud.;Suplementos, Dieta, Alimentación;55.59;4.5;0;81
127;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Deporte, Rendimiento, Fitness;157.29;4.0;15;105
128;Rutina de Ejercicios Personalizada;Deportes;Planes de ejercicios adaptados a tus objetivos de salud y condición física.;Deporte, Fitness, Rendimiento;96.73;3.0;30;480
129;Vitaminas y Suplementos;Nutrición;Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.;Alimentación, Suplementos, Dieta;16.25;3.0;10;306
130;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Deporte, Fitness, Rendimiento;67.15;5.0;0;403
131;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Fitness, Deporte, Rendimiento;96.46;3.5;10;185
132;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Ejercicio, Salud, Bienestar;68.7;4.0;5;32
133;Plan de Alimentación Saludable;Nutrición;Menús equilibrados diseñados por nutricionistas para mejorar tu salud.;Dieta, Alimentación, Suplementos;54.55;4.0;0;23
134;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Rendimiento, Deporte, Fitness;38.53;3.0;5;151
135;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Bienestar, Ejercicio, Salud;139.51;3.0;25;201
136;Ropa Deportiva;Deportes;Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.;Rendimiento, Deporte, Fitness;34.1;3.5;30;119
137;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Rendimiento, Deporte, Fitness;47.01;3.5;5;39
138;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Fitness, Rendimiento, Deporte;107.1;3.5;5;436
139;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Salud, Bienestar, Ejercicio;90.07;3.0;15;206
140;Ropa Deportiva;Deportes;Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.;Deporte, Fitness, Rendimiento;101.87;4.0;20;23
141;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Ejercicio, Salud, Bienestar;43.29;4.0;5;226
142;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Fitness, Deporte, Rendimiento;100.42;5.0;20;351
143;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Ejercicio, Salud, Bienestar;109.19;5.0;25;463
144;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Rendimiento, Fitness, Deporte;76.08;4.5;0;9
145;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Rendimiento, Fitness, Deporte;124.46;3.5;5;466
146;Curso de Mindfulness;Bienestar Mental;Desarrolla hábitos de atención plena para mejorar tu bienestar mental.;Mindfulness, Relajación, Terapia;35.45;3.0;20;466
147;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Ejercicio, Bienestar, Salud;88.46;4.0;0;365
148;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Deporte, Fitness, Rendimiento;48.93;4.0;25;156
149;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Mindfulness, Relajación, Terapia;63.65;3.0;15;378
150;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Bienestar, Salud, Ejercicio;49.24;3.5;15;11
151;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Bienestar, Ejercicio, Salud;138.95;5.0;0;343
152;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Relajación, Mindfulness, Terapia;67.02;4.5;25;490
153;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Terapia, Relajación, Mindfulness;103.18;3.0;5;172
154;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Relajación, Terapia, Mindfulness;38.46;2.5;0;393
155;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Rendimiento, Deporte, Fitness;45.21;2.5;10;417
156;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Fitness, Deporte, Rendimiento;82.39;3.0;25;478
157;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Relajación, Terapia, Mindfulness;109.91;4.0;15;123
158;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Deporte, Fitness, Rendimiento;184.78;3.0;15;423
159;Ropa Deportiva;Deportes;Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.;Deporte, Rendimiento, Fitness;107.34;5.0;15;466
160;Plan de Alimentación Saludable;Nutrición;Menús equilibrados diseñados por nutricionistas para mejorar tu salud.;Alimentación, Dieta, Suplementos;62.72;3.5;25;461
161;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Terapia, Relajación, Mindfulness;95.37;3.5;10;446
162;Rutina de Ejercicios Personalizada;Deportes;Planes de ejercicios adaptados a tus objetivos de salud y condición física.;Fitness, Deporte, Rendimiento;160.28;3.0;20;406
163;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Terapia, Relajación, Mindfulness;110.29;4.5;10;282
164;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Bienestar, Ejercicio, Salud;136.54;3.0;0;462
165;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Deporte, Fitness, Rendimiento;79.82;4.0;25;238
166;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Ejercicio, Salud, Bienestar;88.49;4.0;25;5
167;Sesión de Terapia Online;Bienestar Mental;Consulta con expertos en bienestar mental desde la comodidad de tu hogar.;Terapia, Relajación, Mindfulness;62.88;2.5;15;200
168;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Rendimiento, Deporte, Fitness;85.82;2.5;5;337
169;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Deporte, Fitness, Rendimiento;151.52;3.0;5;326
170;Ropa Deportiva;Deportes;Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.;Deporte, Fitness, Rendimiento;41.92;3.5;5;26
